question,option1,option2,option3,option4,answer,explanation,course/subject,instruction,tags(Coma Seprate),topic(Topic id),isShow
Fill in the blank with the past perfect continuous tense form of the verb,is recovering,has been recovering,had been recovering,has recovered,4,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the past perfect continuous tense form of the verb,The manager is on a leave.,The manager had been on leave.,The manager was on leave.,The manager has been on leave.,4,,"192.193,194",,"english,grammar,tenses",8,True
Mathematics __________ difficult by many students.,is found,has found,has been founding,are found,1,,"192.193,194",,"english,grammar,tenses",8,True
Mathematics __________ difficult by many students.,have had lend,shall lend,lends,lending,2,,"192.193,194",,"english,grammar,tenses",8,True
Mathematics __________ difficult by many students.,Present perfect tense,Past perfect tense,Past indefinite tense,Present indefinite tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Identify the tense used in the given sentence,Present indefinite tense,Past indefinite tense,Past perfect tense,Present perfect tense,2,,"192.193,194",,"english,grammar,tenses",8,True
Identify the tense used in the given sentence,Charlie will be the headboy of our school.,Charlie has been the headboy of our school.,Charlie have had been the headboy of our school.,Charlie would have been the headboy of our school.,1,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express a person's habitual or regular activities?,Present perfect tense,Present perfect continuous tense,Present indefinite tense,Present continuous tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Joey __________ from the vacation just now.,has returned,had returned,had been returning,returns,1,,"192.193,194",,"english,grammar,tenses",8,True
You should not __________ the worst.,assumed,assuming,assume,assumes,3,,"192.193,194",,"english,grammar,tenses",8,True
You should not __________ the worst.,The parcel had been delivered.,The parcel will be delivered.,The parcel was delivered.,The parcel would have been delivered.,2,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the present perfect continuous tense form of the verb,had been working,have been working,has been working,are working,2,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the past perfect tense form of the verb given in the,did,was doing,had done,had been doing,3,,"192.193,194",,"english,grammar,tenses",8,True
Choose the correct sentence.,I did not accompanied them.,I do not accompanied them.,I does not accompany them.,I do not accompany them.,4,,"192.193,194",,"english,grammar,tenses",8,True
Choose the correct sentence.,Past indefinite tense,Past perfect tense,Present indefinite tense,Present perfect tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Choose the correct sentence.,Past continuous tense,Past perfect continuous tense,Past perfect tense,Past indefinite tense,4,,"192.193,194",,"english,grammar,tenses",8,True
The whole family __________ for the ceremony.,has been invited,have been invited,invites,invited,1,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the past indefinite tense form of the verb given in the,is,are,had been,has been,4,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action that is taking place at the,Present perfect continuous tense,Present indefinite tense,Present continuous tense,Present perfect tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action that is taking place at the,Past perfect tense,Present perfect tense,Present indefinite tense,Past indefinite tense,2,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action that is taking place at the,Future indefinite tense,Present continuous tense,Future perfect continuous tense,Future continuous tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Joseph __________ by everyone after he won the competition.,was congratulated,congratulate,shall be congratulated,have been congratulated,1,,"192.193,194",,"english,grammar,tenses",8,True
Choose the correct sentence.,He visit the temple frequently.,He visits the temple frequently.,He had visiting the temple frequently.,He have had visited the temple frequently.,2,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect tense form of the verb given in the,ought to save,should save,would have saved,would save,3,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect tense form of the verb given in the,Present indefinite tense,Present perfect tense,Past perfect tense,Past indefinite tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect tense form of the verb given in the,Present indefinite tense,Present perfect tense,Present continuous tense,Present perfect continuous tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Jack and John __________ helpful.,be,have been,was,had been,2,,"192.193,194",,"english,grammar,tenses",8,True
Jack and John __________ helpful.,Past indefinite tense,Past perfect tense,Past perfect continuous tense,Past continuous tense,3,,"192.193,194",,"english,grammar,tenses",8,True
