question,option1,option2,option3,option4,answer,explanation,course/subject,instruction,tags(Coma Seprate),topic(Topic id),isShow
Choose the correct sentence.,"When I woke up, he has already eaten breakfast.","When I woke up, he had already eaten breakfast.","When I had woken up, he had already ate breakfast.","When I had woken up, he has already ate breakfast.",2,,"192.193,194",,"english,grammar,tenses",8,True
I __________ the medicine as prescribed by the doctor for a week now.,takes,have been taking,would have taken,have had been taking,2,,"192.193,194",,"english,grammar,tenses",8,True
You and I __________ the obligations.,am fulfilled,has been fulfilling,have fulfilled,has fulfilled,3,,"192.193,194",,"english,grammar,tenses",8,True
You and I __________ the obligations.,Future indefinite tense,Future perfect tense,Present indefinite tense,Present perfect tense,1,,"192.193,194",,"english,grammar,tenses",8,True
You and I __________ the obligations.,The children played in the park throughout the evening.,The children have been playing in the park throughout the evening.,The children had played in the park throughout the evening.,The children had been playing in the park throughout the evening.,4,,"192.193,194",,"english,grammar,tenses",8,True
You and I __________ the obligations.,Present continuous tense,Present indefinite tense,Future indefinite tense,Present perfect tense,2,,"192.193,194",,"english,grammar,tenses",8,True
"Identify the tense used in the underlined phrase. ""The weatherman going to rain.""",Present indefinite tense,Future indefinite tense,Future perfect continuous tense,Future continuous tense,4,,"192.193,194",,"english,grammar,tenses",8,True
Two-thirds of the food supply __________ for the month.,has been used,were used,have been using,has been using,1,,"192.193,194",,"english,grammar,tenses",8,True
The technique of paraphrasing __________.,are practised,has to be practised,have to be practised,is practising,4,,"192.193,194",,"english,grammar,tenses",8,True
The technique of paraphrasing __________.,are,have been,is,have,4,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express that an action started in the past and is continuing till now?,Present perfect tense,Past perfect continuous tense,Past continuous tense,Present perfect continuous tense,2,,"192.193,194",,"english,grammar,tenses",8,True
Identify the tense used in the sen,Past indefinite tense,Past perfect tense,Present indefinite,Past perfect continuous tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Identify the tense used in the sen,Present indefinite tense,Present perfect continuous tense,Present continuous tense,Present perfect tense,1,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the present perfect tense form of the verb given in the,have been going,had gone,has gone,has been going,3,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect continuous tense form of the verb given in the,shall have been waiting,have been waiting,shall be waiting,had been waiting,2,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect continuous tense form of the verb given in the,He has been sleeping.,He had slept.,He has slept.,He sleeps.,1,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the future perfect continuous tense form of the verb given in the,Past indefinite tense,Past perfect tense,Present perfect tense,Present indefinite tense,2,,"192.193,194",,"english,grammar,tenses",8,True
"By the time she was fifteen, she __________ a beautiful singer.",shall become,become,had become,has becoming,3,,"192.193,194",,"english,grammar,tenses",8,True
Fill in the blank with the present perfect continuous tense form of the verb,follows,have been following,has been following,has followed,1,,"192.193,194",,"english,grammar,tenses",8,True
Neither she nor I __________ at home.,were,was,has been,be,2,,"192.193,194",,"english,grammar,tenses",8,True
My friends and I __________ stuck there.,had been,was,has been,have had been,2,,"192.193,194",,"english,grammar,tenses",8,True
Choose the correct sentence.,Sam have gone to buy some groceries.,Sam had going to buy some groceries.,Sam be going to buy some groceries.,Sam is going to buy some groceries.,4,,"192.193,194",,"english,grammar,tenses",8,True
Which tense is used to express an action taking place in the future?,Future perfect tense,Future perfect continuous tense,Future indefinite tense,Future continuous tense,3,,"192.193,194",,"english,grammar,tenses",8,True
Chris __________ to attend the programme.,did not wanted,did not want,do not wanted,does not wanted,2,,"192.193,194",,"english,grammar,tenses",8,True
